concept_id,categories,classification_score,evidence,uncertainties,status,group_id
AE_END,date_time_conversion | field_combination | conditional_derivation | temporal_derivation,0.99,结束日期格式、部分日期标记和时间格式均已明确，需要组合并转换为 ISO 8601；持续状态需要用于派生相对参考期结束状态，结束研究日依赖参考开始日期派生。,,proposed,ae_connected_01
AE_SEQUENCE,temporal_derivation,0.99,该概念明确属于域记录生成后的序号派生，并已给出形成序号所依赖的核心字段、术语和开始时间概念。,,proposed,ae_connected_01
VS_CORE,source_integration | direct_assignment | field_combination | date_time_conversion | character_normalization | controlled_terminology | record_transposition | temporal_derivation,0.86,研究标识、受试者标识和访视来自直接来源字段。; 日期和时间字段需要组合并转换为 ISO 8601。; 体位取值需要大小写规范化并按受控术语验证。; 原始记录粒度为每名受试者每次访视一条记录，目标基数为一条原始记录展开为多条生命体征记录。; 研究日派生依赖 DM_REFERENCE_START。,未提供 DM_REFERENCE_START 的来源数据集、连接键及基数关系，无法确认跨来源整合和研究日派生。,needs_information,vs_connected_01
VS_HEIGHT,direct_assignment | controlled_terminology | record_transposition | unit_conversion,0.97,身高结果和原始单位均有直接来源字段。; 身高字段需要生成纵向生命体征检查记录，并配置检查名称及短名称的受控术语。; 原始单位同时包含 in 和 cm，需要生成统一的标准结果及标准单位。,尚未指定受控术语表和版本化单位换算表。,proposed,vs_connected_01
VS_WEIGHT,direct_assignment | controlled_terminology | record_transposition | unit_conversion,0.97,体重结果和原始单位均有直接来源字段。; 体重字段需要生成纵向生命体征检查记录，并配置检查名称及短名称的受控术语。; 原始单位同时包含 lb 和 kg，需要生成统一的标准结果及标准单位。,尚未指定受控术语表和版本化单位换算表。,proposed,vs_connected_01
VS_TEMP,direct_assignment | controlled_terminology | record_transposition | unit_conversion,0.97,体温结果和原始单位均有直接来源字段。; 体温字段需要生成纵向生命体征检查记录，并配置检查名称及短名称的受控术语。; 原始单位同时包含 F 和 C，需要生成统一的标准结果及标准单位。,尚未指定受控术语表和版本化单位换算表。,proposed,vs_connected_01
VS_SYSBP,direct_assignment | controlled_terminology | record_transposition,0.96,收缩压结果和原始单位均有直接来源字段。; 收缩压字段需要生成纵向生命体征检查记录，并配置检查名称、短名称和单位的受控术语。; 原始单位仅出现可识别的 mmHg，未显示跨单位换算需求。,尚未指定受控术语表。,proposed,vs_connected_01
VS_DIABP,direct_assignment | controlled_terminology | record_transposition,0.96,舒张压结果和原始单位均有直接来源字段。; 舒张压字段需要生成纵向生命体征检查记录，并配置检查名称、短名称和单位的受控术语。; 原始单位仅出现可识别的 mmHg，未显示跨单位换算需求。,尚未指定受控术语表。,proposed,vs_connected_01
VS_PULSE,direct_assignment | controlled_terminology | record_transposition,0.96,脉率结果和原始单位均有直接来源字段。; 脉率字段需要生成纵向生命体征检查记录，并配置检查名称、短名称和单位的受控术语。; 原始单位仅出现可识别的 beats/min，未显示跨单位换算需求。,尚未指定受控术语表。,proposed,vs_connected_01
VS_POST_DERIVATIONS,temporal_derivation,0.9,该概念没有直接来源字段，且在全部生命体征检查记录形成后执行。; 域级后处理涉及序号、研究日、访视编号和基线标志等派生。,尚未提供记录排序规则、访视编号规则和基线判定规则。,needs_information,vs_connected_01
