mapping_id,candidate_rank,source_dataset,source_variable,target_domain,target_variable,target_value,mapping_type,transform_id,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance,decision,final_domain,final_variable,final_value,final_transform_id,final_parameters,review_comment
DM005,1,dm_raw,FIRST_DOSE_DT,DM,RFSTDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM006,1,dm_raw,IC_DT,DM,RFICDTC,,date_conversion,to_iso8601_date,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM007,1,dm_raw,IT.AGE,DM,AGE,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM009,1,dm_raw,IT.SEX,DM,SEX,,controlled_term,map_controlled_term,"{""terms"":{""Female"":""F"",""Male"":""M"",""Unknown"":""U""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM010,1,dm_raw,IT.ETHNIC,DM,ETHNIC,,controlled_term,map_controlled_term,"{""terms"":{""Hispanic or Latino"":""HISPANIC OR LATINO"",""Not Hispanic or Latino"":""NOT HISPANIC OR LATINO"",""Unknown"":""UNKNOWN"",""Not Reported"":""NOT REPORTED""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM011,1,dm_raw,IT.RACE,DM,RACE,,controlled_term,map_controlled_term,"{""terms"":{""White"":""WHITE"",""Asian"":""ASIAN"",""Black or African American"":""BLACK OR AFRICAN AMERICAN"",""American Indian or Alaska Native"":""AMERICAN INDIAN OR ALASKA NATIVE"",""Multiple"":""MULTIPLE"",""Unknown"":""UNKNOWN""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM012,1,dm_raw,COUNTRY,DM,COUNTRY,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM013,1,dm_raw,PLANNED_ARMCD,DM,ARMCD,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM014,1,dm_raw,PLANNED_ARM,DM,ARM,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM015,1,dm_raw,ACTUAL_ARMCD,DM,ACTARMCD,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM016,1,dm_raw,ACTUAL_ARM,DM,ACTARM,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
DM017,1,dm_raw,PATNUM,DM,SITEID,,custom,custom_transform,"{""name"":""extract_siteid""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS001,1,vs_raw,STUDY,VS,STUDYID,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS003,1,vs_raw,STUDY | PATNUM,VS,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS005,1,vs_raw,VTLD,VS,VSDTC,,date_conversion,to_iso8601_date,"{""formats"":[""dd-mmm-yyyy"",""m/d/y"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS006,1,vs_raw,SUBPOS,VS,VSPOS,,custom,custom_transform,"{""name"":""uppercase""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS007,1,vs_raw,INSTANCE,VS,VISIT,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS008,1,vs_raw,INSTANCE,VS,VISITNUM,,custom,derive_visitnum,"{""terms"":{""Screening 1"":-1,""Week 2"":2}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS101,1,vs_raw,IT.HEIGHT_VSORRES,VS,VSTESTCD,HEIGHT,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS102,1,vs_raw,IT.WEIGHT,VS,VSTESTCD,WEIGHT,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS103,1,vs_raw,IT.TEMP,VS,VSTESTCD,TEMP,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS104,1,vs_raw,SYS_BP,VS,VSTESTCD,SYSBP,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS105,1,vs_raw,DIA_BP,VS,VSTESTCD,DIABP,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
VS106,1,vs_raw,PULSE,VS,VSTESTCD,PULSE,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,accept,,,,,,离线参考种子，已由演示审核者确认。
