mapping_id,candidate_rank,source_dataset,source_variable,target_domain_recommended,target_variable_recommended,target_value_recommended,mapping_type,transform_id_recommended,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance,target_domain_gold,target_variable_gold,target_value_gold,transform_id_gold,difficulty,mapping_type_gold,transform_parameters_gold,correct,mapping_type_correct,transform_parameters_correct,exact_correct
DM012,1,dm_raw,COUNTRY,DM,COUNTRY,,direct,direct_map,{},95,"Country codes (USA, CAN, GBR) conform to ISO 3166-1 alpha-3 standard used by SDTM DM.COUNTRY.",,FALSE,model,DM,COUNTRY,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
DM013,1,dm_raw,PLANNED_ARMCD,DM,ARMCD,,direct,direct_map,{},90,Planned treatment arm code maps directly to SDTM DM.ARMCD; source values are already in short code format.,"Verify that PBO and TRT10 are appropriate standardized codes for the study; if not, controlled terminology mapping may be needed.",FALSE,model,DM,ARMCD,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
DM014,1,dm_raw,PLANNED_ARM,DM,ARM,,direct,direct_map,{},95,"The source variable PLANNED_ARM contains the planned treatment arm description, which directly maps to the SDTM DM.ARM variable.",The source value 'Trace Drug 10 mg' may not match the sponsor-defined SDTM ARM codelist; verify terminology.,FALSE,model,DM,ARM,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
DM015,1,dm_raw,ACTUAL_ARMCD,DM,ACTARMCD,,direct,direct_map,{},95,"The source variable ACTUAL_ARMCD contains the actual treatment arm code, which directly maps to the SDTM DM.ACTARMCD variable.",,FALSE,model,DM,ACTARMCD,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
DM016,1,dm_raw,ACTUAL_ARM,DM,ACTARM,,direct,direct_map,{},95,"The source variable ACTUAL_ARM contains the actual treatment arm description, which directly maps to the SDTM DM.ACTARM variable.",The source value 'Trace Drug 10 mg' may not match the sponsor-defined SDTM ACTARM codelist; verify terminology.,FALSE,model,DM,ACTARM,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
AE001,1,ae_raw,STUDY,AE,STUDYID,,direct,direct_map,{},95,"The source variable STUDY contains the study identifier, which directly maps to the SDTM AE.STUDYID variable.",,FALSE,model,AE,STUDYID,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
AE003,1,ae_raw,STUDY | PATNUM,AE,USUBJID,,combine,combine_fields,"{""fields"":[""STUDY"",""PATNUM""],""separator"":""-""}",90,Combine study identifier and subject identifier to create unique subject identifier for AE domain.,Assumed separator hyphen; may need confirmation from study specs.,TRUE,model,AE,USUBJID,,derive_usubjid,derived,combine,"{""separator"":""-""}",FALSE,TRUE,FALSE,FALSE
AE005,1,ae_raw,IT.AETERM,AE,AETERM,,direct,direct_map,"{""source_variable"":""IT.AETERM""}",95,Reported adverse event term maps directly to AETERM.,None.,FALSE,model,AE,AETERM,,direct_map,direct,direct,[],TRUE,TRUE,FALSE,FALSE
AE006,1,ae_raw,AEDECOD,AE,AEDECOD,,direct,direct_map,"{""source_variable"":""AEDECOD""}",95,Coded adverse event term maps directly to AEDECOD.,None.,FALSE,model,AE,AEDECOD,,direct_map,direct,direct,[],TRUE,TRUE,FALSE,FALSE
AE007,1,ae_raw,AEBODSYS,AE,AEBODSYS,,direct,direct_map,"{""source_variable"":""AEBODSYS""}",95,Adverse event body system maps directly to AEBODSYS.,None.,FALSE,model,AE,AEBODSYS,,custom_transform,derived,custom,"{""name"":""uppercase""}",FALSE,FALSE,FALSE,FALSE
AE008,1,ae_raw,IT.AESEV,AE,AESEV,,controlled_term,map_controlled_term,"{""mapping"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",0.95,Standard mapping from AE severity variable to SDTM AE.AESEV using controlled terminology.,Confirm complete list of source values and exact target CDISC terminology for severity.,TRUE,model,AE,AESEV,,map_controlled_term,controlled_term,controlled_term,"{""terms"":{""Mild Adverse Event"":""MILD"",""Moderate Adverse Event"":""MODERATE"",""Severe Adverse Event"":""SEVERE""}}",TRUE,TRUE,FALSE,FALSE
AE009,1,ae_raw,IT.AESER,AE,AESER,,controlled_term,map_controlled_term,"{""mapping"":{""No"":""N"",""Yes"":""Y""}}",0.98,Serious event indicator maps directly to AE.AESER with standard Y/N values.,No significant uncertainties; verify source values are only 'No' and 'Yes'.,FALSE,model,AE,AESER,,map_controlled_term,controlled_term,controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",TRUE,TRUE,FALSE,FALSE
AE010,1,ae_raw,IT.AEREL,AE,AEREL,,controlled_term,map_controlled_term,"{""mapping"":{""Not Related"":""NOT RELATED"",""Unlikely Related"":""UNLIKELY RELATED"",""Possibly Related"":""POSSIBLY RELATED"",""Probably Related"":""PROBABLY RELATED""}}",0.85,Causality variable maps to AE.AEREL with standardized relationship terminology.,"CDISC standard codelist for AEREL may vary; confirm exact terms (e.g., whether 'UNLIKELY RELATED' is accepted or should map to 'NOT RELATED').",TRUE,model,AE,AEREL,,map_controlled_term,controlled_term,controlled_term,"{""terms"":{""Probably Related"":""PROBABLE"",""Possibly Related"":""POSSIBLE"",""Unlikely Related"":""UNLIKELY"",""Not Related"":""NOT RELATED""}}",TRUE,TRUE,FALSE,FALSE
AE011,1,ae_raw,AEOUTCOME,AE,AEOUT,,controlled_term,map_controlled_term,"{""mapping"":{""Recovered/Resolved"":""RECOVERED/RESOLVED"",""Not Recovered/not Resolved"":""NOT RECOVERED/NOT RESOLVED"",""Recovering/Resolving"":""RECOVERING/RESOLVING""}}",0.95,Outcome variable maps directly to AE.AEOUT using standard outcome terminology.,Confirm all possible outcome values; compare with CDISC codelist for AEOUT.,TRUE,model,AE,AEOUT,,map_controlled_term,controlled_term,controlled_term,"{""terms"":{""Recovered/Resolved"":""RECOVERED/RESOLVED"",""Recovering/Resolving"":""RECOVERING/RESOLVING"",""Not Recovered/not Resolved"":""NOT RECOVERED/NOT RESOLVED"",""Fatal"":""FATAL"",""Unknown"":""UNKNOWN""}}",TRUE,TRUE,FALSE,FALSE
AE012,1,ae_raw,IT.AESTDAT,AE,AESTDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event start date maps directly to SDTM AE AESTDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model,AE,AESTDTC,,to_iso8601_date,date,date_conversion,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",TRUE,TRUE,FALSE,FALSE
AE013,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event end date maps directly to SDTM AE AEENDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model,AE,AEENDTC,,to_iso8601_date,date,date_conversion,"{""formats"":[""m/d/y"",""dd-mmm-yyyy"",""y-m-d""]}",TRUE,TRUE,FALSE,FALSE
AE014,1,ae_raw,IT.AESHOSP,AE,AESHOSP,,controlled_term,map_controlled_term,"{""mapping"":{""Yes"":""Y"",""No"":""N""}}",95,Hospitalization seriousness criterion maps directly to SDTM AE AESHOSP with controlled terminology.,,FALSE,model,AE,AESHOSP,,map_controlled_term,controlled_term,controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",TRUE,TRUE,FALSE,FALSE
AE015,1,ae_raw,IT.AEENDAT,AE,AEENDTC,,date_conversion,to_iso8601_date,"{""source_format"":""dd/mm/yyyy""}",90,Adverse event end date maps directly to SDTM AE AEENDTC with ISO 8601 date conversion.,Date format is ambiguous; assumes dd/mm/yyyy based on common clinical practice but needs verification against source data.,TRUE,model,AE,AEENRF,,custom_transform,derived,custom,"{""name"":""ongoing_if_missing""}",FALSE,FALSE,FALSE,FALSE
VS001,1,vs_raw,STUDY,VS,STUDYID,,direct,direct_map,{},0.95,"STUDY field directly maps to STUDYID in the VS domain, which is required for all SDTM domains.",,FALSE,model,VS,STUDYID,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
VS003,1,vs_raw,STUDY | PATNUM,VS,USUBJID,,combine,derive_usubjid,"{""study_field"":""STUDY"",""patient_field"":""PATNUM"",""separator"":""-""}",0.9,Combining STUDY and PATNUM with a hyphen yields a globally unique USUBJID in the VS domain.,,FALSE,model,VS,USUBJID,,derive_usubjid,derived,combine,"{""separator"":""-""}",TRUE,TRUE,FALSE,FALSE
VS005,1,vs_raw,VTLD,VS,VSDTC,,date_conversion,to_iso8601_date,"{""input_format"":""DD-Mon-YYYY""}",0.95,VTLD is the vital signs date; it maps directly to VSDTC after ISO8601 date conversion.,,FALSE,model,VS,VSDTC,,to_iso8601_date,date,date_conversion,"{""formats"":[""dd-mmm-yyyy"",""m/d/y"",""y-m-d""]}",TRUE,TRUE,FALSE,FALSE
VS006,1,vs_raw,SUBPOS,VS,VSPOS,,controlled_term,map_controlled_term,"{""codelist"":""Position""}",0.9,"SUBPOS contains body position values (SUPINE, SITTING, STANDING) that map to the controlled terminology for VSPOS.",Exact codelist name may need verification with the SDTM implementation guide.,FALSE,model,VS,VSPOS,,custom_transform,derived,custom,"{""name"":""uppercase""}",FALSE,FALSE,FALSE,FALSE
VS007,1,vs_raw,INSTANCE,VS,VISIT,,direct,direct_map,{},9,INSTANCE contains visit names such as 'Screening 1' and 'Week 2' which map directly to SDTM VS.VISIT.,None,FALSE,model,VS,VISIT,,direct_map,direct,direct,[],TRUE,TRUE,TRUE,TRUE
VS008,1,vs_raw,INSTANCE,VS,VISITNUM,,custom,derive_visitnum,{},8,VISITNUM derived from INSTANCE visit labels for standard visit numbering; more specific for this mapping instance.,Mapping table for visit numbers not provided; review needed.,TRUE,model,VS,VISITNUM,,derive_visitnum,derived,custom,"{""terms"":{""Screening 1"":-1,""Week 2"":2}}",TRUE,TRUE,FALSE,FALSE
VS101,1,vs_raw,IT.HEIGHT_VSORRES,VS,VSORRES,,transpose,transpose_findings,"{""vstestcd"":""HEIGHT""}",9,IT.HEIGHT_VSORRES contains height results that become VSORRES for VS records with VSTESTCD='HEIGHT' after transposing wide data to long format.,The test code 'HEIGHT' is implied by source variable name; confirm controlled terminology.,FALSE,model,VS,VSTESTCD,HEIGHT,transpose_findings,transpose,transpose,[],FALSE,TRUE,FALSE,FALSE
VS102,1,vs_raw,IT.WEIGHT,VS,VSORRES,,transpose,transpose_findings,"{""vstestcd"":""WEIGHT""}",9,IT.WEIGHT contains weight results that become VSORRES for VS records with VSTESTCD='WEIGHT' after transposing wide data to long format.,The test code 'WEIGHT' is implied by source variable name; confirm controlled terminology.,FALSE,model,VS,VSTESTCD,WEIGHT,transpose_findings,transpose,transpose,[],FALSE,TRUE,FALSE,FALSE
VS103,1,vs_raw,IT.TEMP,VS,VSSTRESN,,direct,direct_map,{},0.95,Numeric temperature values are stored directly as the standardized numeric result in VSSTRESN.,"Unit (e.g., °C) is not captured by this mapping; VSTESTCD and VSTEST must be populated via constant mapping.",FALSE,model,VS,VSTESTCD,TEMP,transpose_findings,transpose,transpose,[],FALSE,FALSE,TRUE,FALSE
VS104,1,vs_raw,SYS_BP,VS,VSSTRESN,,direct,direct_map,{},0.95,Systolic blood pressure values are numeric and map directly to the standardized numeric result in VSSTRESN.,"Unit (e.g., mmHg) and test code must be supplied via other mappings; body position may be captured separately.",FALSE,model,VS,VSTESTCD,SYSBP,transpose_findings,transpose,transpose,[],FALSE,FALSE,TRUE,FALSE
VS105,1,vs_raw,DIA_BP,VS,VSSTRESN,,direct,direct_map,{},0.95,Diastolic blood pressure is numeric and directly mapped to the standardized numeric result in VSSTRESN.,Unit (mmHg) and VSTESTCD need to be set; position may require mapping from SUBPOS.,FALSE,model,VS,VSTESTCD,DIABP,transpose_findings,transpose,transpose,[],FALSE,FALSE,TRUE,FALSE
VS106,1,vs_raw,PULSE,VS,VSSTRESN,,direct,direct_map,{},0.95,Pulse rate is numeric and maps directly to the standardized numeric result in VSSTRESN.,"Unit (e.g., beats/min) and test code require separate mapping; position may be relevant.",FALSE,model,VS,VSTESTCD,PULSE,transpose_findings,transpose,transpose,[],FALSE,FALSE,TRUE,FALSE
