mapping_id,candidate_rank,source_dataset,source_variable,target_domain,target_variable,target_value,mapping_type,transform_id,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance
VS003,1,vs_raw,STUDY | PATNUM,VS,USUBJID,,combine,derive_usubjid,"{""study_field"":""STUDY"",""patient_field"":""PATNUM"",""separator"":""-""}",0.9,Combining STUDY and PATNUM with a hyphen yields a globally unique USUBJID in the VS domain.,,FALSE,model
VS003,2,vs_raw,STUDY | PATNUM,DM,USUBJID,,combine,derive_usubjid,"{""study_field"":""STUDY"",""patient_field"":""PATNUM"",""separator"":""-""}",0.7,The same combined value could be mapped to DM.USUBJID if a DM domain is also built from this source.,Whether DM domain is generated from vs_raw.,TRUE,model
VS005,1,vs_raw,VTLD,VS,VSDTC,,date_conversion,to_iso8601_date,"{""input_format"":""DD-Mon-YYYY""}",0.95,VTLD is the vital signs date; it maps directly to VSDTC after ISO8601 date conversion.,,FALSE,model
VS006,1,vs_raw,SUBPOS,VS,VSPOS,,controlled_term,map_controlled_term,"{""codelist"":""Position""}",0.9,"SUBPOS contains body position values (SUPINE, SITTING, STANDING) that map to the controlled terminology for VSPOS.",Exact codelist name may need verification with the SDTM implementation guide.,FALSE,model
VS007,1,vs_raw,INSTANCE,VS,VISIT,,direct,direct_map,{},9,INSTANCE contains visit names such as 'Screening 1' and 'Week 2' which map directly to SDTM VS.VISIT.,None,FALSE,model
VS007,2,vs_raw,INSTANCE,VS,VISITNUM,,custom,derive_visitnum,{},7,VISITNUM can be derived from the visit name using a standard visit numbering mapping; requires a mapping table.,Mapping table from visit labels to numbers not provided.,TRUE,model
VS008,1,vs_raw,INSTANCE,VS,VISITNUM,,custom,derive_visitnum,{},8,VISITNUM derived from INSTANCE visit labels for standard visit numbering; more specific for this mapping instance.,Mapping table for visit numbers not provided; review needed.,TRUE,model
VS008,2,vs_raw,INSTANCE,VS,VISIT,,direct,direct_map,{},7,INSTANCE also maps directly to VISIT as an alternative.,None,FALSE,model
VS101,1,vs_raw,IT.HEIGHT_VSORRES,VS,VSORRES,,transpose,transpose_findings,"{""vstestcd"":""HEIGHT""}",9,IT.HEIGHT_VSORRES contains height results that become VSORRES for VS records with VSTESTCD='HEIGHT' after transposing wide data to long format.,The test code 'HEIGHT' is implied by source variable name; confirm controlled terminology.,FALSE,model
VS101,2,vs_raw,IT.HEIGHT_VSORRES,VS,VSSTRESN,,transpose,transpose_findings,"{""vstestcd"":""HEIGHT"",""storage"":""numeric""}",8,Height result can also populate VSSTRESN as numeric standardized result; in SDTM both VSORRES and VSSTRESN are typically populated.,"If VSORRES is already populated, VSSTRESN may need conversion/derivation; mapping to both fields might be required.",FALSE,model
VS102,1,vs_raw,IT.WEIGHT,VS,VSORRES,,transpose,transpose_findings,"{""vstestcd"":""WEIGHT""}",9,IT.WEIGHT contains weight results that become VSORRES for VS records with VSTESTCD='WEIGHT' after transposing wide data to long format.,The test code 'WEIGHT' is implied by source variable name; confirm controlled terminology.,FALSE,model
VS102,2,vs_raw,IT.WEIGHT,VS,VSSTRESN,,transpose,transpose_findings,"{""vstestcd"":""WEIGHT"",""storage"":""numeric""}",8,Weight result can also populate VSSTRESN as numeric standardized result; in SDTM both VSORRES and VSSTRESN are typically populated.,"If VSORRES is already populated, VSSTRESN may need conversion/derivation; mapping to both fields might be required.",FALSE,model
VS103,1,vs_raw,IT.TEMP,VS,VSSTRESN,,direct,direct_map,{},0.95,Numeric temperature values are stored directly as the standardized numeric result in VSSTRESN.,"Unit (e.g., °C) is not captured by this mapping; VSTESTCD and VSTEST must be populated via constant mapping.",FALSE,model
VS103,2,vs_raw,IT.TEMP,VS,VSORRES,,direct,direct_map,{},0.85,The original temperature result must be retained as a character value in VSORRES for source data representation.,Source value may need conversion to character; unit and test code are not included.,FALSE,model
VS103,3,vs_raw,IT.TEMP,VS,VSSTRESC,,direct,direct_map,{},0.5,"If a character-standardized result is needed, VSSTRESC can hold the temperature value, but it is redundant for numeric data.",Typically VSSTRESC is not required for numeric findings; may represent formatting inconsistencies.,TRUE,model
VS104,1,vs_raw,SYS_BP,VS,VSSTRESN,,direct,direct_map,{},0.95,Systolic blood pressure values are numeric and map directly to the standardized numeric result in VSSTRESN.,"Unit (e.g., mmHg) and test code must be supplied via other mappings; body position may be captured separately.",FALSE,model
VS104,2,vs_raw,SYS_BP,VS,VSORRES,,direct,direct_map,{},0.85,Preserve the original systolic blood pressure reading as character data in VSORRES.,Potential requirement to convert numeric to character; unit and test code not addressed.,FALSE,model
VS104,3,vs_raw,SYS_BP,VS,VSSTRESC,,direct,direct_map,{},0.5,"If a character standardized result is required, VSSTRESC could store the value, though numeric storage in VSSTRESN is preferred.",Redundant for numeric results; may cause inconsistency if both are populated.,TRUE,model
VS105,1,vs_raw,DIA_BP,VS,VSSTRESN,,direct,direct_map,{},0.95,Diastolic blood pressure is numeric and directly mapped to the standardized numeric result in VSSTRESN.,Unit (mmHg) and VSTESTCD need to be set; position may require mapping from SUBPOS.,FALSE,model
VS105,2,vs_raw,DIA_BP,VS,VSORRES,,direct,direct_map,{},0.85,Original diastolic blood pressure value is retained in VSORRES as raw data.,Need to ensure character representation; unit and test code are separate.,FALSE,model
VS105,3,vs_raw,DIA_BP,VS,VSSTRESC,,direct,direct_map,{},0.5,"Character standardized result may be provided as an alternative, but numeric VSSTRESN is standard.",Not typically needed for numeric findings; possible inconsistency.,TRUE,model
VS106,1,vs_raw,PULSE,VS,VSSTRESN,,direct,direct_map,{},0.95,Pulse rate is numeric and maps directly to the standardized numeric result in VSSTRESN.,"Unit (e.g., beats/min) and test code require separate mapping; position may be relevant.",FALSE,model
VS106,2,vs_raw,PULSE,VS,VSORRES,,direct,direct_map,{},0.85,Original pulse rate is retained in VSORRES as raw data.,May need conversion to character; unit and test code not included.,FALSE,model
VS106,3,vs_raw,PULSE,VS,VSSTRESC,,direct,direct_map,{},0.5,"If a character standardized result is needed, VSSTRESC could be used, though numeric is preferred.",Redundant for numeric findings; potential inconsistency with VSSTRESN.,TRUE,model
