mapping_id,candidate_rank,source_dataset,source_variable,target_domain_recommended,target_variable_recommended,target_value_recommended,mapping_type,transform_id_recommended,transform_parameters,recommendation_score,reason,uncertainties,review_required,provenance,target_domain_gold,target_variable_gold,target_value_gold,transform_id_gold,difficulty,correct
AE014,1,ae_raw,IT.AESHOSP,AE,AESHOSP,,controlled_term,map_controlled_term,"{""terms"":{""Yes"":""Y"",""No"":""N""}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AESHOSP,,map_controlled_term,controlled_term,TRUE
AE015,1,ae_raw,IT.AEENDAT,AE,AEENRF,,custom,custom_transform,"{""name"":""ongoing_if_missing""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,AE,AEENRF,,custom_transform,derived,TRUE
VS001,1,vs_raw,STUDY,VS,STUDYID,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,STUDYID,,direct_map,direct,TRUE
VS003,1,vs_raw,STUDY | PATNUM,VS,USUBJID,,combine,derive_usubjid,"{""separator"":""-""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,USUBJID,,derive_usubjid,derived,TRUE
VS005,1,vs_raw,VTLD,VS,VSDTC,,date_conversion,to_iso8601_date,"{""formats"":[""dd-mmm-yyyy"",""m/d/y"",""y-m-d""]}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VSDTC,,to_iso8601_date,date,TRUE
VS006,1,vs_raw,SUBPOS,VS,VSPOS,,custom,custom_transform,"{""name"":""uppercase""}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VSPOS,,custom_transform,derived,TRUE
VS007,1,vs_raw,INSTANCE,VS,VISIT,,direct,direct_map,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VISIT,,direct_map,direct,TRUE
VS008,1,vs_raw,INSTANCE,VS,VISITNUM,,custom,derive_visitnum,"{""terms"":{""Screening 1"":-1,""Week 2"":2}}",1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VISITNUM,,derive_visitnum,derived,TRUE
VS101,1,vs_raw,IT.HEIGHT_VSORRES,VS,VSTESTCD,HEIGHT,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VSTESTCD,HEIGHT,transpose_findings,transpose,TRUE
VS102,1,vs_raw,IT.WEIGHT,VS,VSTESTCD,WEIGHT,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VSTESTCD,WEIGHT,transpose_findings,transpose,TRUE
VS103,1,vs_raw,IT.TEMP,VS,VSTESTCD,TEMP,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VSTESTCD,TEMP,transpose_findings,transpose,TRUE
VS104,1,vs_raw,SYS_BP,VS,VSTESTCD,SYSBP,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VSTESTCD,SYSBP,transpose_findings,transpose,TRUE
VS105,1,vs_raw,DIA_BP,VS,VSTESTCD,DIABP,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VSTESTCD,DIABP,transpose_findings,transpose,TRUE
VS106,1,vs_raw,PULSE,VS,VSTESTCD,PULSE,transpose,transpose_findings,[],1,参考种子：来自专家编写的映射模板，用于离线演示和测试。,这不是真实模型运行结果，不能用于评价模型准确率。,TRUE,reference_seed,VS,VSTESTCD,PULSE,transpose_findings,transpose,TRUE
